neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
West of Twin Peaks,Private room,37.73773,-122.44956,250,1,35,0.47,1,337
Noe Valley,Entire home/apt,37.74334,-122.42932,105,30,209,2.31,2,151
Marina,Entire home/apt,37.79921,-122.43191,300,3,22,0.95,1,5
Castro/Upper Market,Entire home/apt,37.76288,-122.43815,210,30,2,0.03,25,326
Castro/Upper Market,Entire home/apt,37.76275,-122.44252,475,5,15,0.38,2,7
Outer Mission,Entire home/apt,37.73225,-122.43614,300,3,66,0.73,1,21
Potrero Hill,Entire home/apt,37.75971,-122.38833,190,2,178,1.95,1,233
Excelsior,Private room,37.73096,-122.42378,45,30,18,0.2,14,226
Castro/Upper Market,Entire home/apt,37.76267,-122.43919,299,2,148,1.62,1,227
Excelsior,Private room,37.7303,-122.42464,30,30,11,0.12,14,340
Mission,Entire home/apt,37.76259,-122.41748,160,30,57,0.63,1,349
Noe Valley,Entire home/apt,37.75131,-122.437,159,7,58,0.66,1,268
North Beach,Entire home/apt,37.79954,-122.40679,135,30,109,1.29,2,354
Pacific Heights,Entire home/apt,37.79026,-122.4364,325,30,41,0.58,1,354
North Beach,Entire home/apt,37.80345,-122.40798,600,1,32,2.2,2,124
Western Addition,Entire home/apt,37.77612,-122.43292,100,30,14,0.16,12,349
Haight Ashbury,Entire home/apt,37.76641,-122.44667,90,30,27,0.3,12,143
Excelsior,Private room,37.72606,-122.43232,48,2,67,0.76,2,334
Mission,Entire home/apt,37.76065,-122.42414,365,4,114,1.26,1,24
Western Addition,Entire home/apt,37.78633,-122.43217,139,30,34,0.39,2,350
South of Market,Entire home/apt,37.78278,-122.39337,250,30,6,0.07,1,0
Haight Ashbury,Entire home/apt,37.76892,-122.44615,189,30,111,1.23,2,246
Mission,Entire home/apt,37.76592,-122.40628,298,3,60,0.66,1,333
Castro/Upper Market,Private room,37.76295,-122.44259,99,3,175,2.06,1,87
Marina,Private room,37.80432,-122.44601,165,60,127,1.42,5,331
Western Addition,Private room,37.78525,-122.43051,99,30,3,0.04,2,350
Castro/Upper Market,Entire home/apt,37.76052,-122.42939,595,4,18,0.34,1,114
Outer Mission,Private room,37.72836,-122.44797,95,1,20,0.23,1,285
Bernal Heights,Entire home/apt,37.74271,-122.41955,160,2,33,0.37,1,8
Haight Ashbury,Entire home/apt,37.77307,-122.44293,190,3,346,3.88,1,47
Noe Valley,Private room,37.74603,-122.43715,195,2,149,1.65,2,0
Mission,Private room,37.75711,-122.40963,83,1,40,0.47,4,161
Castro/Upper Market,Private room,37.76174,-122.44339,125,2,366,4.06,2,319
Excelsior,Private room,37.72965,-122.42539,40,30,20,0.23,14,345
Excelsior,Private room,37.73019,-122.42317,45,30,25,0.28,14,326
Castro/Upper Market,Entire home/apt,37.75813,-122.4355,115,2,199,3.05,2,6
Western Addition,Private room,37.77093,-122.42823,90,7,10,0.11,1,321
Castro/Upper Market,Entire home/apt,37.76079,-122.43447,270,30,175,1.98,1,0
Excelsior,Private room,37.72636,-122.43342,85,30,0,0,1,67
Castro/Upper Market,Private room,37.7586,-122.43332,95,2,72,0.83,5,104
Bernal Heights,Entire home/apt,37.73501,-122.42045,135,1,224,2.49,2,5
Financial District,Entire home/apt,37.79178,-122.39502,500,30,1,0.07,1,354
Castro/Upper Market,Entire home/apt,37.76055,-122.44221,549,3,36,0.46,2,138
Mission,Entire home/apt,37.75139,-122.41194,200,31,85,0.95,2,126
Mission,Private room,37.75131,-122.40795,70,3,101,1.15,1,267
Haight Ashbury,Entire home/apt,37.76588,-122.44281,672,5,12,0.14,1,48
Haight Ashbury,Entire home/apt,37.76648,-122.44542,125,3,256,2.95,1,267
Bernal Heights,Entire home/apt,37.74587,-122.41626,390,4,12,0.14,1,11
Bernal Heights,Private room,37.74498,-122.41927,102,30,174,1.96,3,262
Potrero Hill,Entire home/apt,37.76196,-122.39411,250,4,120,1.47,2,327
Bernal Heights,Entire home/apt,37.74248,-122.41069,149,6,377,4.25,1,259
Castro/Upper Market,Entire home/apt,37.75666,-122.43607,700,2,34,0.4,1,273
Bernal Heights,Entire home/apt,37.74002,-122.41813,169,3,59,0.68,3,61
Ocean View,Private room,37.72042,-122.46914,60,30,14,0.17,1,154
Noe Valley,Entire home/apt,37.74987,-122.44027,189,30,80,1.11,1,0
Pacific Heights,Entire home/apt,37.79363,-122.42493,130,30,20,0.23,9,0
Downtown/Civic Center,Entire home/apt,37.78217,-122.42038,114,30,9,0.11,26,97
Mission,Private room,37.76318,-122.40708,99,3,139,1.59,3,138
Western Addition,Entire home/apt,37.77044,-122.43599,289,3,95,1.08,1,347
Mission,Entire home/apt,37.75635,-122.40996,122,30,19,0.23,4,310
Inner Richmond,Private room,37.78377,-122.47522,132,2,198,3.31,1,295
Mission,Private room,37.75906,-122.40761,68,31,13,0.3,7,324
Outer Richmond,Entire home/apt,37.78135,-122.48266,140,3,208,2.35,2,295
Downtown/Civic Center,Entire home/apt,37.78321,-122.41969,124,30,8,0.12,26,126
Chinatown,Shared room,37.79418,-122.40582,30,30,9,0.1,7,267
Chinatown,Shared room,37.79455,-122.406,30,30,8,0.11,7,347
Chinatown,Shared room,37.79478,-122.40592,30,30,6,0.08,7,263
Outer Richmond,Private room,37.77884,-122.50535,128,2,255,2.9,1,325
Castro/Upper Market,Private room,37.76003,-122.4357,116,2,46,0.53,5,106
Castro/Upper Market,Private room,37.75941,-122.43363,109,2,27,0.31,5,0
Castro/Upper Market,Entire home/apt,37.75978,-122.4351,350,3,27,0.31,5,7
Western Addition,Entire home/apt,37.7748,-122.42711,250,30,19,0.23,1,0
Outer Sunset,Entire home/apt,37.75925,-122.50893,324,4,118,1.34,1,79
Western Addition,Private room,37.78706,-122.42908,140,2,68,0.77,3,360
Glen Park,Entire home/apt,37.74054,-122.43121,190,30,8,0.09,2,207
Western Addition,Entire home/apt,37.77407,-122.4331,110,30,20,0.23,12,353
Outer Sunset,Private room,37.75385,-122.50806,57,30,97,1.92,2,33
North Beach,Entire home/apt,37.8059,-122.41803,165,30,44,0.5,2,0
Western Addition,Private room,37.77346,-122.42917,89,1,87,1.04,3,116
Western Addition,Entire home/apt,37.78101,-122.44083,425,3,42,0.49,1,0
Excelsior,Entire home/apt,37.72594,-122.43327,225,6,12,0.17,1,48
Russian Hill,Entire home/apt,37.80041,-122.41569,148,30,3,0.04,25,34
Parkside,Entire home/apt,37.73853,-122.47166,160,2,416,4.75,1,267
Bernal Heights,Entire home/apt,37.74687,-122.40964,145,3,195,2.22,1,227
Western Addition,Private room,37.78881,-122.42941,105,2,101,1.19,3,339
Russian Hill,Entire home/apt,37.80139,-122.41534,490,1,29,0.42,4,316
Mission,Entire home/apt,37.76717,-122.42419,280,3,26,0.3,1,0
Mission,Private room,37.76731,-122.42542,125,1,252,2.9,1,19
South of Market,Entire home/apt,37.77297,-122.40301,170,31,217,2.47,1,353
Chinatown,Shared room,37.79472,-122.40519,30,30,1,0.01,20,365
Excelsior,Private room,37.72376,-122.42926,90,2,64,2.58,1,143
Castro/Upper Market,Entire home/apt,37.75756,-122.4364,199,1,254,2.9,1,0
Bernal Heights,Entire home/apt,37.73962,-122.41484,230,3,21,0.27,1,3
Glen Park,Entire home/apt,37.73429,-122.43491,650,2,104,1.23,2,337
North Beach,Private room,37.80332,-122.41076,75,30,42,0.48,1,76
Bernal Heights,Entire home/apt,37.73895,-122.41274,195,2,44,0.51,1,7
Potrero Hill,Entire home/apt,37.756,-122.40022,205,4,23,0.27,1,126
Mission,Entire home/apt,37.76099,-122.42183,125,30,182,2.11,1,331
Noe Valley,Private room,37.75613,-122.44066,399,3,229,2.63,1,95
Castro/Upper Market,Entire home/apt,37.76214,-122.43148,205,3,250,3.06,1,110
Western Addition,Entire home/apt,37.77296,-122.43497,375,3,35,0.41,2,32
Western Addition,Private room,37.77144,-122.4347,130,3,96,1.11,2,44
Outer Mission,Entire home/apt,37.72872,-122.4406,250,31,59,0.68,1,365
Outer Richmond,Entire home/apt,37.77985,-122.48478,130,3,141,1.66,2,274
Castro/Upper Market,Entire home/apt,37.76778,-122.43427,545,4,46,0.53,1,217
Potrero Hill,Entire home/apt,37.76197,-122.40365,170,30,126,1.46,2,257
Mission,Entire home/apt,37.76348,-122.40546,300,30,17,0.2,2,360
Mission,Entire home/apt,37.75853,-122.42387,100,3,195,2.3,2,30
