neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Western Addition,Private room,37.77362,-122.42591,99,1,130,3.06,1,88
Russian Hill,Entire home/apt,37.80546,-122.41848,140,30,6,0.22,5,157
Haight Ashbury,Entire home/apt,37.77025,-122.44738,195,2,289,7.26,1,28
Noe Valley,Entire home/apt,37.75124,-122.43891,110,30,9,0.25,1,123
Bernal Heights,Private room,37.74754,-122.40578,99,3,11,0.32,4,194
Mission,Entire home/apt,37.76818,-122.42416,180,30,5,0.12,1,365
Potrero Hill,Private room,37.75802,-122.39756,125,5,101,2.32,2,212
Inner Sunset,Entire home/apt,37.74941,-122.46641,250,30,4,0.1,2,331
Outer Richmond,Private room,37.78113,-122.5011,130,2,323,7.62,1,86
Parkside,Private room,37.7441,-122.47482,120,3,66,1.56,1,39
Mission,Private room,37.75628,-122.42349,150,2,81,3.22,1,348
Mission,Entire home/apt,37.75993,-122.40821,209,3,15,0.6,1,181
South of Market,Private room,37.78705,-122.39334,179,21,67,1.55,1,76
Outer Richmond,Entire home/apt,37.77325,-122.50589,165,30,36,0.87,1,268
Bernal Heights,Private room,37.73418,-122.41533,59,2,7,0.66,2,0
Noe Valley,Entire home/apt,37.75218,-122.44197,117,2,253,5.97,1,44
Outer Sunset,Entire home/apt,37.74905,-122.50223,165,2,129,3,1,290
Mission,Private room,37.76095,-122.42098,130,2,74,1.77,1,0
Noe Valley,Entire home/apt,37.75007,-122.43925,899,30,16,0.54,1,178
Downtown/Civic Center,Entire home/apt,37.78946,-122.40959,235,4,10,0.54,1,32
Bernal Heights,Private room,37.74182,-122.40896,99,30,4,0.11,4,63
Potrero Hill,Entire home/apt,37.75817,-122.39978,195,30,45,1.07,1,143
Haight Ashbury,Private room,37.76631,-122.4516,130,2,102,2.45,2,281
Marina,Entire home/apt,37.80268,-122.42887,300,3,7,0.17,1,0
Downtown/Civic Center,Entire home/apt,37.78882,-122.41094,265,2,17,0.41,10,13
Noe Valley,Entire home/apt,37.75282,-122.438,225,30,26,0.97,3,97
Western Addition,Private room,37.78829,-122.42194,159,30,40,1.09,1,171
Pacific Heights,Entire home/apt,37.79215,-122.43476,250,2,37,0.88,1,3
South of Market,Private room,37.77756,-122.41165,120,2,148,3.5,1,43
Noe Valley,Private room,37.75065,-122.42873,95,30,12,0.3,2,310
Nob Hill,Private room,37.79565,-122.41871,149,1,121,2.85,3,106
Western Addition,Entire home/apt,37.77896,-122.44232,250,3,12,0.32,1,3
Castro/Upper Market,Entire home/apt,37.76016,-122.43267,175,30,3,0.08,25,365
Bernal Heights,Entire home/apt,37.7417,-122.41181,270,2,59,1.55,1,0
Visitacion Valley,Entire home/apt,37.71859,-122.40426,990,2,9,3.91,5,82
Mission,Entire home/apt,37.75319,-122.41606,153,8,16,0.45,2,13
Potrero Hill,Entire home/apt,37.762,-122.39278,500,3,66,1.91,1,314
Western Addition,Entire home/apt,37.78647,-122.42258,150,30,8,0.2,1,216
Outer Mission,Entire home/apt,37.72729,-122.44225,149,3,47,1.11,1,142
Bernal Heights,Private room,37.74287,-122.42206,75,4,119,3.57,4,12
Inner Richmond,Private room,37.77761,-122.46018,90,5,58,1.36,4,195
Outer Sunset,Entire home/apt,37.76261,-122.49146,300,3,62,1.46,1,44
Castro/Upper Market,Private room,37.75822,-122.42674,78,1,36,0.94,1,0
Russian Hill,Entire home/apt,37.79926,-122.42054,587,3,40,1.27,1,26
Bernal Heights,Entire home/apt,37.73994,-122.41502,110,30,6,0.75,1,329
Chinatown,Entire home/apt,37.79137,-122.40606,80,1,7,0.23,1,9
Mission,Entire home/apt,37.75353,-122.41015,175,2,74,1.74,1,3
Russian Hill,Entire home/apt,37.79782,-122.41521,198,30,72,1.73,1,76
Haight Ashbury,Entire home/apt,37.76003,-122.44952,95,30,2,0.06,1,48
Mission,Entire home/apt,37.76311,-122.40597,525,3,19,1.75,40,96
Chinatown,Shared room,37.79313,-122.40482,30,30,4,0.53,7,318
Mission,Entire home/apt,37.76236,-122.42385,900,2,55,1.3,2,325
Downtown/Civic Center,Private room,37.77431,-122.42169,115,1,206,4.84,1,38
Outer Richmond,Entire home/apt,37.77361,-122.50037,70,2,144,3.65,1,280
Western Addition,Entire home/apt,37.77384,-122.42919,265,7,6,0.59,1,200
Bernal Heights,Private room,37.73555,-122.42724,79,3,84,1.97,2,320
Western Addition,Entire home/apt,37.77751,-122.4365,155,30,5,0.14,2,340
Excelsior,Entire home/apt,37.72629,-122.40463,320,2,53,1.24,2,7
Nob Hill,Entire home/apt,37.79687,-122.41381,300,30,75,1.76,1,184
Pacific Heights,Entire home/apt,37.79404,-122.43177,245,3,1,0.03,2,185
Chinatown,Private room,37.79136,-122.4061,300,2,5,0.12,36,201
Inner Richmond,Entire home/apt,37.78398,-122.46221,131,30,8,0.19,3,159
Inner Richmond,Entire home/apt,37.78506,-122.46393,129,30,6,0.14,3,263
Outer Richmond,Entire home/apt,37.77794,-122.47993,238,30,140,3.27,1,364
Western Addition,Private room,37.77225,-122.43386,119,2,109,2.84,1,266
Castro/Upper Market,Private room,37.7555,-122.43886,155,2,20,1.41,1,293
Russian Hill,Entire home/apt,37.80465,-122.42262,1099,1,8,0.21,1,361
Western Addition,Entire home/apt,37.77219,-122.42565,300,4,29,0.8,4,0
Inner Richmond,Entire home/apt,37.78291,-122.45949,900,3,26,0.68,2,5
Inner Richmond,Entire home/apt,37.775,-122.46675,199,2,5,0.14,1,0
Mission,Entire home/apt,37.76051,-122.42349,900,2,36,0.85,1,159
Haight Ashbury,Entire home/apt,37.77281,-122.45204,450,5,12,0.31,1,6
Western Addition,Private room,37.77231,-122.42411,105,2,204,4.82,4,95
Mission,Entire home/apt,37.77003,-122.42355,270,30,6,0.14,2,217
Bernal Heights,Entire home/apt,37.7399,-122.41746,185,2,162,3.87,1,93
South of Market,Entire home/apt,37.7765,-122.40398,269,30,41,0.97,1,168
Outer Sunset,Private room,37.75548,-122.49992,70,1,136,3.2,4,143
Pacific Heights,Entire home/apt,37.79543,-122.43711,268,30,4,0.1,34,363
Haight Ashbury,Entire home/apt,37.77046,-122.45271,200,4,5,0.88,1,0
Noe Valley,Entire home/apt,37.74704,-122.42582,165,30,3,0.21,1,214
Mission,Entire home/apt,37.75019,-122.41517,180,30,0,0,1,183
Ocean View,Private room,37.7174,-122.46943,95,1,63,1.66,1,336
Noe Valley,Private room,37.75378,-122.43845,125,2,80,1.94,3,9
Marina,Entire home/apt,37.79822,-122.44095,195,30,46,1.08,1,340
Inner Richmond,Entire home/apt,37.78267,-122.46974,149,2,129,3.53,2,57
Twin Peaks,Entire home/apt,37.75196,-122.44851,300,3,11,0.3,1,123
Haight Ashbury,Private room,37.77363,-122.44657,109,2,178,4.18,1,6
Inner Richmond,Private room,37.77771,-122.47169,115,3,57,1.46,3,75
Bayview,Entire home/apt,37.72001,-122.39249,85,2,128,3.01,1,96
Downtown/Civic Center,Entire home/apt,37.7883,-122.41022,80,30,93,2.21,1,232
Glen Park,Entire home/apt,37.73885,-122.43594,160,2,211,4.96,1,127
Marina,Private room,37.7998,-122.42506,56,31,2,0.1,2,329
Chinatown,Private room,37.79154,-122.40648,250,2,6,0.14,36,8
Chinatown,Private room,37.79152,-122.40674,300,1,5,0.16,36,3
Parkside,Private room,37.74114,-122.49292,89,3,88,2.14,2,52
Outer Mission,Entire home/apt,37.71869,-122.44658,160,2,16,0.42,1,0
Lakeshore,Private room,37.71348,-122.48359,100,30,14,0.36,1,72
Noe Valley,Private room,37.75581,-122.43306,150,3,50,1.2,2,284
North Beach,Entire home/apt,37.80319,-122.40742,100,30,0,0,1,0
Inner Sunset,Entire home/apt,37.76295,-122.45447,120,30,125,2.94,1,0
Bernal Heights,Private room,37.74715,-122.40745,99,3,53,1.3,1,43
Russian Hill,Entire home/apt,37.79995,-122.42271,399,30,37,1.07,1,340
Russian Hill,Private room,37.80535,-122.42158,70,30,92,2.21,2,47
South of Market,Entire home/apt,37.78034,-122.39754,238,30,10,0.25,3,361
Outer Sunset,Entire home/apt,37.74833,-122.48231,150,30,97,2.29,1,335
West of Twin Peaks,Entire home/apt,37.73428,-122.44951,120,3,138,3.25,1,65
Ocean View,Entire home/apt,37.71742,-122.46542,135,30,13,0.31,1,213
Chinatown,Private room,37.79146,-122.40638,250,2,6,0.14,36,0
Mission,Entire home/apt,37.75161,-122.42143,165,31,0,0,1,89
Potrero Hill,Entire home/apt,37.75503,-122.40184,155,31,72,1.7,1,71
Excelsior,Private room,37.72458,-122.43151,45,20,78,1.84,3,33
Glen Park,Entire home/apt,37.73427,-122.43625,300,3,4,0.09,2,0
Bernal Heights,Entire home/apt,37.73658,-122.42035,100,3,59,1.56,1,55
Castro/Upper Market,Entire home/apt,37.75735,-122.4311,475,3,145,3.63,1,124
Bayview,Private room,37.73016,-122.40312,120,1,1,1,1,80
Mission,Entire home/apt,37.75472,-122.41034,350,3,41,1.01,1,0
Noe Valley,Entire home/apt,37.74418,-122.43233,146,1,258,6.09,1,19
Bernal Heights,Private room,37.73418,-122.42537,59,30,12,0.3,6,141
Ocean View,Entire home/apt,37.71968,-122.44973,220,30,64,1.7,1,277
Presidio Heights,Entire home/apt,37.7883,-122.45788,1040,5,2,0.05,1,0
Bernal Heights,Private room,37.73459,-122.41968,130,2,40,1.07,2,60
Bernal Heights,Entire home/apt,37.74316,-122.41914,325,3,28,0.74,1,51
Downtown/Civic Center,Private room,37.78946,-122.413,252,2,60,1.46,15,311
Mission,Entire home/apt,37.75351,-122.40733,114,30,4,0.1,40,157
North Beach,Entire home/apt,37.80228,-122.40691,700,3,46,1.15,1,64
Castro/Upper Market,Entire home/apt,37.76385,-122.44306,165,2,250,6,1,47
South of Market,Entire home/apt,37.78796,-122.39299,225,30,0,0,14,148
South of Market,Entire home/apt,37.7722,-122.39164,205,30,0,0,14,148
Financial District,Entire home/apt,37.79069,-122.3932,215,30,0,0,14,133
Mission,Private room,37.75247,-122.41173,135,3,156,4.02,1,276
Pacific Heights,Entire home/apt,37.79435,-122.43624,650,30,7,0.17,1,277
Excelsior,Entire home/apt,37.71793,-122.43393,250,2,21,0.52,2,0
Potrero Hill,Private room,37.75319,-122.40195,88,2,144,3.67,1,68
Nob Hill,Private room,37.79024,-122.41938,120,30,23,0.58,18,346
Nob Hill,Private room,37.79102,-122.41923,90,30,15,0.39,18,234
Nob Hill,Private room,37.79206,-122.42135,120,30,2,0.05,18,291
Nob Hill,Private room,37.79227,-122.42059,120,30,12,0.31,18,322
Financial District,Entire home/apt,37.79598,-122.40448,108,30,84,2.03,2,248
Noe Valley,Entire home/apt,37.75239,-122.42648,159,30,167,4.51,2,352
Inner Richmond,Entire home/apt,37.78547,-122.46457,139,30,9,0.22,3,175
Bayview,Entire home/apt,37.72979,-122.37094,250,180,1,0.03,1,365
North Beach,Shared room,37.79849,-122.40407,69,1,127,3.02,25,90
Pacific Heights,Entire home/apt,37.79541,-122.43665,139,30,1,0.03,34,364
Inner Sunset,Private room,37.76549,-122.45321,69,32,2,0.05,9,365
North Beach,Entire home/apt,37.80384,-122.40892,250,30,12,0.29,1,0
Western Addition,Entire home/apt,37.78269,-122.42847,295,30,33,0.79,1,317
Presidio Heights,Entire home/apt,37.78784,-122.45171,132,30,0,0,34,332
Russian Hill,Entire home/apt,37.79749,-122.41927,148,30,0,0,34,338
Glen Park,Entire home/apt,37.73563,-122.4377,125,3,114,2.91,1,25
Mission,Entire home/apt,37.761,-122.4218,245,4,31,0.77,2,0
Western Addition,Entire home/apt,37.78552,-122.44538,135,31,2,0.1,1,278
Marina,Entire home/apt,37.80066,-122.44032,650,31,2,0.05,1,39
Bernal Heights,Entire home/apt,37.73567,-122.423,159,2,106,2.75,1,132
Potrero Hill,Private room,37.75948,-122.39655,125,5,85,2.04,2,221
Bernal Heights,Entire home/apt,37.74058,-122.41581,141,30,72,1.82,1,298
Pacific Heights,Entire home/apt,37.79095,-122.43436,1350,3,11,0.38,1,136
South of Market,Private room,37.77733,-122.41078,100,1,172,6.15,4,285
South of Market,Private room,37.77622,-122.41113,95,1,163,5.81,4,287
South of Market,Private room,37.77716,-122.40931,90,1,169,6.05,4,275
South of Market,Private room,37.77737,-122.41072,80,1,158,5.58,4,265
Chinatown,Entire home/apt,37.79209,-122.40611,149,30,3,0.08,8,137
Chinatown,Entire home/apt,37.79202,-122.40585,149,30,4,0.1,8,160
Chinatown,Entire home/apt,37.79204,-122.40618,126,30,2,0.06,8,92
Mission,Entire home/apt,37.76515,-122.40584,114,3,104,3.93,40,178
Mission,Entire home/apt,37.7629,-122.41873,99,30,8,0.23,40,236
Noe Valley,Entire home/apt,37.74494,-122.43084,116,30,0,0,4,138
Outer Mission,Entire home/apt,37.72602,-122.44089,126,3,106,2.61,1,46
Inner Richmond,Entire home/apt,37.77928,-122.4528,400,2,46,1.7,2,72
Mission,Entire home/apt,37.75726,-122.40933,118,30,6,0.17,40,1
Inner Sunset,Private room,37.75122,-122.47071,140,1,3,0.1,1,0
Parkside,Private room,37.74143,-122.49269,79,3,132,3.2,2,59
Noe Valley,Entire home/apt,37.74459,-122.42752,185,3,99,2.57,1,87
Outer Richmond,Entire home/apt,37.77938,-122.4995,600,1,10,0.27,2,138
Outer Richmond,Private room,37.78002,-122.50385,75,3,75,1.82,3,96
North Beach,Entire home/apt,37.79923,-122.40541,220,30,40,0.97,3,365
Nob Hill,Entire home/apt,37.79014,-122.41685,148,30,14,0.4,6,356
Outer Sunset,Entire home/apt,37.76182,-122.50462,230,4,69,1.68,1,0
West of Twin Peaks,Entire home/apt,37.72887,-122.46213,425,2,43,1.1,2,354
Mission,Entire home/apt,37.75463,-122.42465,115,30,0,0,102,153
Bernal Heights,Entire home/apt,37.74054,-122.41867,119,60,8,0.22,2,263
Castro/Upper Market,Entire home/apt,37.76004,-122.44558,260,7,15,0.38,1,23
Excelsior,Entire home/apt,37.72547,-122.43211,105,7,113,2.84,2,268
Western Addition,Entire home/apt,37.78609,-122.42885,220,30,21,1.33,2,365
Potrero Hill,Entire home/apt,37.76159,-122.40461,230,3,88,2.17,1,0
Western Addition,Entire home/apt,37.77419,-122.42944,280,3,27,0.77,1,341
Mission,Private room,37.76564,-122.41746,135,3,172,4.49,3,310
Castro/Upper Market,Entire home/apt,37.75995,-122.43539,150,30,9,0.34,1,162
Potrero Hill,Entire home/apt,37.75465,-122.4002,215,5,76,2.78,1,25
Outer Mission,Private room,37.73315,-122.44436,90,30,0,0,1,365
Outer Richmond,Entire home/apt,37.7758,-122.49772,299,2,141,3.47,1,153
Inner Sunset,Entire home/apt,37.75457,-122.46763,190,3,3,0.97,2,0
Mission,Entire home/apt,37.75728,-122.42097,148,1,27,0.65,1,0
Western Addition,Entire home/apt,37.77438,-122.42413,1600,3,6,0.16,1,9
Russian Hill,Entire home/apt,37.79734,-122.41571,170,90,0,0,2,339
Bernal Heights,Private room,37.74667,-122.40768,110,2,112,2.87,1,0
Downtown/Civic Center,Entire home/apt,37.7893,-122.41304,252,2,68,1.74,15,305
Nob Hill,Entire home/apt,37.79011,-122.41658,115,30,12,0.36,6,346
Marina,Entire home/apt,37.80006,-122.44616,199,30,8,0.22,2,344
Ocean View,Private room,37.72561,-122.47036,149,3,80,2.04,4,0
Mission,Entire home/apt,37.75136,-122.41353,266,89,30,1.18,2,214
Russian Hill,Private room,37.80086,-122.41394,82,30,112,2.73,3,257
Western Addition,Entire home/apt,37.77418,-122.43196,159,2,16,0.58,1,0
South of Market,Entire home/apt,37.77475,-122.39407,170,90,0,0,1,364
Parkside,Entire home/apt,37.73907,-122.47727,140,3,119,2.93,1,294
Inner Richmond,Entire home/apt,37.77877,-122.47201,175,30,1,0.05,3,63
Western Addition,Entire home/apt,37.7823,-122.44046,239,1,75,1.84,2,71
Downtown/Civic Center,Entire home/apt,37.78394,-122.40991,78,30,3,0.13,102,141
Bernal Heights,Private room,37.74625,-122.42361,195,3,41,1.06,3,1
Outer Sunset,Private room,37.76359,-122.48245,55,1,194,5.76,2,33
Potrero Hill,Entire home/apt,37.75923,-122.39717,600,2,23,0.63,1,96
Inner Sunset,Private room,37.76294,-122.46931,120,30,26,1.07,1,105
Bernal Heights,Entire home/apt,37.74819,-122.40914,150,2,21,0.51,1,0
Outer Mission,Entire home/apt,37.73103,-122.44218,160,3,65,1.62,1,3
Mission,Entire home/apt,37.75177,-122.41543,165,3,163,4.48,1,102
West of Twin Peaks,Entire home/apt,37.73615,-122.45143,275,4,4,0.1,1,280
Castro/Upper Market,Private room,37.76364,-122.43474,140,3,68,1.76,2,113
Inner Richmond,Entire home/apt,37.77384,-122.4711,360,7,9,0.24,1,0
Castro/Upper Market,Private room,37.76406,-122.43392,160,3,79,1.94,2,126
Western Addition,Private room,37.77779,-122.43207,100,2,49,1.34,2,92
Chinatown,Entire home/apt,37.79216,-122.4065,123,30,1,0.03,8,148
Ocean View,Private room,37.72468,-122.47131,129,2,94,2.31,4,141
Outer Sunset,Entire home/apt,37.75857,-122.48878,139,1,215,5.5,2,15
Noe Valley,Private room,37.74495,-122.42992,99,1,256,7.01,4,184
Noe Valley,Private room,37.74539,-122.43046,105,1,339,8.35,4,201
Bernal Heights,Entire home/apt,37.74377,-122.41828,208,3,139,3.58,1,34
Bernal Heights,Private room,37.73691,-122.41083,75,2,212,6.2,1,31
Noe Valley,Private room,37.75356,-122.44223,101,30,9,0.22,2,313
Castro/Upper Market,Entire home/apt,37.76098,-122.44303,650,5,16,0.42,1,0
Haight Ashbury,Entire home/apt,37.76253,-122.44885,195,30,11,0.28,1,340
Inner Richmond,Entire home/apt,37.77966,-122.46662,118,30,17,0.43,1,310
South of Market,Entire home/apt,37.77674,-122.40911,199,30,7,0.2,2,299
Western Addition,Entire home/apt,37.77665,-122.44127,136,30,30,0.75,1,212
Bayview,Entire home/apt,37.72052,-122.39151,108,1,75,1.86,1,166
Downtown/Civic Center,Private room,37.7874,-122.40845,110,1,44,1.12,26,3
Downtown/Civic Center,Private room,37.78726,-122.40955,110,1,59,1.48,26,6
Mission,Private room,37.75675,-122.42467,104,1,209,5.14,1,1
Russian Hill,Entire home/apt,37.79795,-122.41091,135,30,1,0.17,1,146
Western Addition,Entire home/apt,37.77211,-122.43204,350,30,2,0.05,2,83
Excelsior,Entire home/apt,37.72722,-122.41951,183,1,106,2.62,4,282
Nob Hill,Entire home/apt,37.79515,-122.41909,130,30,99,2.57,1,77
Outer Sunset,Private room,37.75746,-122.48286,45,30,1,0.03,2,186
Bernal Heights,Entire home/apt,37.74662,-122.41503,225,3,16,0.4,1,0
Noe Valley,Entire home/apt,37.75136,-122.42937,100,30,5,0.13,2,347
South of Market,Entire home/apt,37.78754,-122.38824,220,30,5,0.14,1,0
Parkside,Entire home/apt,37.73739,-122.50635,140,1,190,4.68,2,107
Inner Richmond,Entire home/apt,37.78402,-122.46189,225,4,117,2.89,2,91
North Beach,Entire home/apt,37.79878,-122.40356,550,30,69,1.78,2,15
South of Market,Private room,37.78859,-122.39118,169,30,26,0.64,3,322
Western Addition,Entire home/apt,37.77618,-122.43217,165,1,218,5.44,1,120
North Beach,Private room,37.79863,-122.40611,70,30,79,1.95,4,242
Inner Sunset,Entire home/apt,37.7602,-122.47605,330,3,17,0.44,1,0
Russian Hill,Entire home/apt,37.79812,-122.40741,109,30,3,0.22,2,359
Twin Peaks,Private room,37.75266,-122.45293,90,2,107,3.09,1,0
North Beach,Shared room,37.79925,-122.4046,69,1,74,1.84,25,89
Visitacion Valley,Entire home/apt,37.71174,-122.39891,250,2,91,2.32,4,110
Castro/Upper Market,Entire home/apt,37.7583,-122.43225,182,30,2,0.09,25,120
Castro/Upper Market,Private room,37.758,-122.42991,95,2,30,0.75,1,27
Outer Mission,Private room,37.72701,-122.44153,97,30,111,2.78,5,64
Outer Richmond,Entire home/apt,37.77526,-122.48875,79,1,133,3.8,2,0
Western Addition,Entire home/apt,37.77589,-122.43274,179,30,4,0.1,1,326
South of Market,Entire home/apt,37.78538,-122.38997,198,365,0,0,254,36
Castro/Upper Market,Private room,37.76182,-122.43779,125,2,36,0.98,2,0
Nob Hill,Entire home/apt,37.78963,-122.41351,240,2,82,2.29,1,3
Pacific Heights,Entire home/apt,37.79025,-122.44439,275,2,114,2.86,1,307
Bernal Heights,Entire home/apt,37.74609,-122.41131,115,30,59,1.47,1,0
Downtown/Civic Center,Private room,37.78755,-122.40962,209,1,5,0.14,5,3
North Beach,Entire home/apt,37.79855,-122.40753,225,30,36,0.91,1,185
Inner Richmond,Private room,37.77704,-122.47236,85,30,1,0.03,3,63
Inner Richmond,Private room,37.77925,-122.47267,85,30,2,0.06,3,30
Pacific Heights,Entire home/apt,37.79683,-122.42576,500,30,15,0.53,2,116
Mission,Entire home/apt,37.7645,-122.41711,68,30,3,0.08,102,136
Inner Richmond,Entire home/apt,37.77486,-122.46235,119,1,299,7.5,2,41
Nob Hill,Private room,37.79439,-122.41105,150,1,3,0.08,2,0
Nob Hill,Private room,37.79195,-122.4214,60,30,1,0.29,18,339
Downtown/Civic Center,Entire home/apt,37.78626,-122.40802,110,1,80,2.01,26,3
Parkside,Private room,37.73486,-122.49566,50,1,318,7.97,2,55
Downtown/Civic Center,Entire home/apt,37.78745,-122.40926,110,1,112,2.8,26,3
Potrero Hill,Private room,37.75582,-122.40162,79,30,121,3.16,1,38
Outer Mission,Entire home/apt,37.73368,-122.44614,115,2,211,5.36,1,244
Mission,Entire home/apt,37.75195,-122.42367,195,30,91,2.37,2,129
Mission,Private room,37.76067,-122.42122,160,3,94,2.37,2,33
Castro/Upper Market,Entire home/apt,37.76397,-122.42787,100,30,8,0.71,1,278
Parkside,Entire home/apt,37.74563,-122.47156,120,2,162,4.12,2,124
Marina,Entire home/apt,37.8039,-122.43974,1495,2,68,1.84,1,232
Marina,Entire home/apt,37.79895,-122.44363,450,2,16,0.63,1,0
Inner Sunset,Entire home/apt,37.75963,-122.46545,299,2,3,0.08,1,22
Mission,Entire home/apt,37.75776,-122.41697,336,30,1,0.19,2,245
Parkside,Entire home/apt,37.73935,-122.49681,179,2,136,3.66,1,248
Inner Sunset,Private room,37.76426,-122.46393,105,2,236,6.01,1,89
Outer Sunset,Private room,37.76069,-122.50283,155,1,314,8.69,2,147
North Beach,Entire home/apt,37.80437,-122.40589,500,60,1,0.03,1,179
Outer Richmond,Entire home/apt,37.77195,-122.51163,190,31,0,0,1,102
Downtown/Civic Center,Entire home/apt,37.78552,-122.40909,110,1,83,2.1,26,3
Downtown/Civic Center,Entire home/apt,37.78736,-122.40923,110,1,104,2.64,26,1
Inner Richmond,Entire home/apt,37.77489,-122.46817,75,30,16,0.42,4,242
Inner Sunset,Entire home/apt,37.7589,-122.46598,140,2,152,3.91,1,27
Haight Ashbury,Entire home/apt,37.76994,-122.45038,290,5,3,0.21,1,0
Bernal Heights,Entire home/apt,37.74679,-122.40495,600,3,41,1.1,1,1
Inner Richmond,Entire home/apt,37.78059,-122.44827,400,2,11,0.29,1,13
Outer Richmond,Entire home/apt,37.77559,-122.49582,350,3,9,0.24,2,0
Chinatown,Shared room,37.79398,-122.4052,30,30,0,0,7,278
Bernal Heights,Entire home/apt,37.73577,-122.41672,100,2,252,6.49,1,26
Nob Hill,Private room,37.78981,-122.41189,450,3,5,0.17,2,3
Inner Richmond,Entire home/apt,37.77926,-122.44907,300,2,15,0.41,1,217
Financial District,Shared room,37.79348,-122.40335,45,1,96,2.42,20,72
Financial District,Shared room,37.79325,-122.40326,45,1,107,2.76,20,57
Financial District,Shared room,37.79454,-122.40315,45,1,113,2.85,20,50
Financial District,Shared room,37.79471,-122.40329,45,1,85,2.22,20,58
Financial District,Shared room,37.79304,-122.40324,45,1,121,3.06,20,62
Mission,Entire home/apt,37.75459,-122.42419,95,30,2,0.09,102,139
Bayview,Private room,37.73119,-122.38945,70,3,35,0.92,1,11
Inner Richmond,Entire home/apt,37.7759,-122.46955,700,7,0,0,2,31
Outer Sunset,Entire home/apt,37.74885,-122.48752,150,2,127,5.25,1,130
Russian Hill,Entire home/apt,37.80634,-122.42056,140,30,4,0.12,5,173
Nob Hill,Entire home/apt,37.79055,-122.41464,148,30,7,0.23,6,346
Bernal Heights,Entire home/apt,37.73919,-122.41797,88,30,16,0.44,1,212
Outer Sunset,Private room,37.75371,-122.48778,99,2,188,4.8,1,41
Parkside,Private room,37.74372,-122.49759,155,30,0,0,2,365
Financial District,Entire home/apt,37.78998,-122.39213,250,31,0,0,5,365
Pacific Heights,Entire home/apt,37.79543,-122.42359,490,5,21,0.55,1,17
Mission,Private room,37.74971,-122.41623,150,2,88,2.24,3,34
Parkside,Entire home/apt,37.74113,-122.47925,300,30,1,0.03,1,363
Downtown/Civic Center,Entire home/apt,37.78122,-122.42035,150,30,13,0.39,4,340
Mission,Private room,37.75011,-122.4168,190,2,66,1.68,3,7
Downtown/Civic Center,Private room,37.778,-122.42164,140,1,133,3.41,28,167
North Beach,Entire home/apt,37.80508,-122.40775,175,30,41,1.05,1,0
Potrero Hill,Private room,37.7624,-122.40502,74,2,168,4.3,7,51
Nob Hill,Entire home/apt,37.79634,-122.41598,73,30,94,2.42,1,348
Outer Mission,Entire home/apt,37.72398,-122.44106,175,30,10,0.29,1,176
Haight Ashbury,Private room,37.7712,-122.44685,125,1,1,0.03,2,0
Nob Hill,Entire home/apt,37.79246,-122.412,138,58,48,1.23,1,360
Excelsior,Private room,37.72599,-122.40599,115,1,189,4.84,3,131
Excelsior,Private room,37.72475,-122.4057,68,1,182,4.64,3,113
Excelsior,Private room,37.72498,-122.40501,65,1,156,4,3,139
Castro/Upper Market,Entire home/apt,37.76206,-122.43576,187,1,19,0.5,1,31
South of Market,Entire home/apt,37.77517,-122.39303,600,30,3,0.08,1,359
Russian Hill,Entire home/apt,37.79809,-122.41479,549,2,58,1.49,1,7
Mission,Entire home/apt,37.75195,-122.4221,121,30,6,0.18,40,349
Mission,Private room,37.75315,-122.40715,100,2,39,2.64,1,21
Outer Richmond,Entire home/apt,37.77849,-122.49881,125,1,125,3.2,2,299
Nob Hill,Entire home/apt,37.79602,-122.41003,219,30,93,2.41,1,220
Castro/Upper Market,Private room,37.76426,-122.42983,145,30,11,0.3,1,259
Mission,Entire home/apt,37.75651,-122.40897,190,30,2,0.12,1,329
Potrero Hill,Private room,37.76185,-122.40543,69,1,253,6.53,7,83
Potrero Hill,Private room,37.7621,-122.4035,58,1,279,7.15,7,72
Bernal Heights,Entire home/apt,37.7379,-122.41649,220,2,24,0.62,1,0
Inner Richmond,Entire home/apt,37.77696,-122.45514,150,30,51,1.38,1,0
Parkside,Entire home/apt,37.73592,-122.50633,150,3,108,2.8,1,283
Bernal Heights,Private room,37.73982,-122.41775,179,2,54,1.5,1,0
Downtown/Civic Center,Entire home/apt,37.78718,-122.4094,110,1,120,3.09,26,1
Presidio Heights,Entire home/apt,37.79036,-122.45006,995,5,2,0.09,2,278
Outer Sunset,Entire home/apt,37.7539,-122.50101,160,2,165,4.31,1,297
Inner Richmond,Entire home/apt,37.77964,-122.477,400,2,7,0.18,1,0
Noe Valley,Entire home/apt,37.75146,-122.43738,475,30,21,0.63,8,186
Mission,Entire home/apt,37.75395,-122.42437,114,30,2,0.11,102,125
Glen Park,Entire home/apt,37.74143,-122.42598,750,3,10,0.26,1,28
Outer Sunset,Entire home/apt,37.76192,-122.49741,175,2,259,7.14,1,20
Russian Hill,Entire home/apt,37.80602,-122.42084,255,6,5,0.13,1,182
Downtown/Civic Center,Private room,37.78724,-122.41539,46,30,5,0.14,34,253
Downtown/Civic Center,Private room,37.78767,-122.41424,49,30,3,0.09,34,294
Inner Richmond,Entire home/apt,37.77643,-122.47753,400,3,14,0.38,1,144
Marina,Private room,37.79757,-122.42565,131,1,158,4.08,14,71
